Plate Date,Trial,Hour,temp,no germ,germ,per_germ
13-Jul,1,4,5,48,52,52
13-Jul,1,4,5,94,6,6
13-Jul,1,4,5,87,13,13
13-Jul,1,4,5,57,43,43
13-Jul,1,4,5,63,37,37
13-Jul,1,4,5,44,56,56
13-Jul,1,4,5,76,24,24
13-Jul,1,4,5,35,65,65
13-Jul,1,4,5,78,22,22
13-Jul,1,4,5,43,57,57
13-Jul,1,4,10,63,37,37
13-Jul,1,4,10,90,10,10
13-Jul,1,4,10,90,10,10
13-Jul,1,4,10,91,9,9
13-Jul,1,4,10,97,3,3
13-Jul,1,4,10,83,17,17
13-Jul,1,4,10,90,10,10
13-Jul,1,4,10,87,13,13
13-Jul,1,4,10,83,17,17
13-Jul,1,4,10,82,18,18
13-Jul,1,4,15,93,7,7
13-Jul,1,4,15,88,12,12
13-Jul,1,4,15,93,7,7
13-Jul,1,4,15,90,10,10
13-Jul,1,4,15,86,14,14
13-Jul,1,4,15,90,10,10
13-Jul,1,4,15,86,14,14
13-Jul,1,4,15,90,10,10
13-Jul,1,4,15,91,9,9
13-Jul,1,4,15,97,3,3
13-Jul,1,4,20,92,8,8
13-Jul,1,4,20,90,10,10
13-Jul,1,4,20,91,9,9
13-Jul,1,4,20,94,6,6
13-Jul,1,4,20,90,10,10
13-Jul,1,4,20,88,12,12
13-Jul,1,4,20,93,7,7
13-Jul,1,4,20,90,10,10
13-Jul,1,4,20,91,9,9
13-Jul,1,4,20,95,5,5
13-Jul,1,4,25,100,0,0
13-Jul,1,4,25,97,3,3
13-Jul,1,4,25,98,2,2
13-Jul,1,4,25,99,1,1
13-Jul,1,4,25,97,3,3
13-Jul,1,4,25,96,4,4
13-Jul,1,4,25,96,4,4
13-Jul,1,4,25,98,2,2
13-Jul,1,4,25,97,3,3
13-Jul,1,4,25,95,5,5
13-Jul,1,8,5,43,57,57
13-Jul,1,8,5,66,34,34
13-Jul,1,8,5,68,32,32
13-Jul,1,8,5,27,73,73
13-Jul,1,8,5,38,62,62
13-Jul,1,8,5,31,69,69
13-Jul,1,8,5,43,57,57
13-Jul,1,8,5,36,64,64
13-Jul,1,8,5,35,65,65
13-Jul,1,8,5,32,68,68
13-Jul,1,8,10,71,29,29
13-Jul,1,8,10,90,10,10
13-Jul,1,8,10,84,16,16
13-Jul,1,8,10,85,15,15
13-Jul,1,8,10,85,15,15
13-Jul,1,8,10,82,18,18
13-Jul,1,8,10,68,32,32
13-Jul,1,8,10,86,14,14
13-Jul,1,8,10,70,30,30
13-Jul,1,8,10,72,28,28
13-Jul,1,8,15,84,16,16
13-Jul,1,8,15,83,17,17
13-Jul,1,8,15,79,21,21
13-Jul,1,8,15,80,20,20
13-Jul,1,8,15,79,21,21
13-Jul,1,8,15,86,14,14
13-Jul,1,8,15,87,13,13
13-Jul,1,8,15,85,15,15
13-Jul,1,8,15,85,15,15
13-Jul,1,8,15,88,12,12
13-Jul,1,8,20,88,12,12
13-Jul,1,8,20,85,15,15
13-Jul,1,8,20,89,11,11
13-Jul,1,8,20,91,9,9
13-Jul,1,8,20,89,11,11
13-Jul,1,8,20,90,10,10
13-Jul,1,8,20,90,10,10
13-Jul,1,8,20,90,10,10
13-Jul,1,8,20,87,13,13
13-Jul,1,8,20,88,12,12
13-Jul,1,8,25,96,4,4
13-Jul,1,8,25,94,6,6
13-Jul,1,8,25,95,5,5
13-Jul,1,8,25,96,4,4
13-Jul,1,8,25,95,5,5
13-Jul,1,8,25,92,8,8
13-Jul,1,8,25,93,7,7
13-Jul,1,8,25,92,8,8
13-Jul,1,8,25,96,4,4
13-Jul,1,8,25,92,8,8
13-Jul,1,12,5,22,78,78
13-Jul,1,12,5,48,52,52
13-Jul,1,12,5,51,49,49
13-Jul,1,12,5,17,83,83
13-Jul,1,12,5,36,64,64
13-Jul,1,12,5,32,68,68
13-Jul,1,12,5,61,39,39
13-Jul,1,12,5,38,62,62
13-Jul,1,12,5,23,77,77
13-Jul,1,12,5,37,63,63
13-Jul,1,12,10,55,45,45
13-Jul,1,12,10,67,33,33
13-Jul,1,12,10,64,36,36
13-Jul,1,12,10,70,30,30
13-Jul,1,12,10,78,22,22
13-Jul,1,12,10,74,26,26
13-Jul,1,12,10,80,20,20
13-Jul,1,12,10,75,25,25
13-Jul,1,12,10,60,40,40
13-Jul,1,12,10,70,30,30
13-Jul,1,12,15,80,20,20
13-Jul,1,12,15,79,21,21
13-Jul,1,12,15,88,12,12
13-Jul,1,12,15,78,22,22
13-Jul,1,12,15,80,20,20
13-Jul,1,12,15,81,19,19
13-Jul,1,12,15,68,32,32
13-Jul,1,12,15,74,26,26
13-Jul,1,12,15,72,28,28
13-Jul,1,12,15,69,31,31
13-Jul,1,12,20,86,14,14
13-Jul,1,12,20,79,21,21
13-Jul,1,12,20,89,11,11
13-Jul,1,12,20,85,15,15
13-Jul,1,12,20,86,14,14
13-Jul,1,12,20,80,20,20
13-Jul,1,12,20,85,15,15
13-Jul,1,12,20,75,25,25
13-Jul,1,12,20,90,10,10
13-Jul,1,12,20,79,21,21
13-Jul,1,12,25,91,9,9
13-Jul,1,12,25,96,4,4
13-Jul,1,12,25,94,6,6
13-Jul,1,12,25,91,9,9
13-Jul,1,12,25,91,9,9
13-Jul,1,12,25,90,10,10
13-Jul,1,12,25,94,6,6
13-Jul,1,12,25,86,14,14
13-Jul,1,12,25,92,8,8
13-Jul,1,12,25,89,11,11
13-Jul,1,24,5,28,72,72
13-Jul,1,24,5,50,50,50
13-Jul,1,24,5,47,53,53
13-Jul,1,24,5,37,63,63
13-Jul,1,24,5,43,57,57
13-Jul,1,24,5,45,55,55
13-Jul,1,24,5,56,44,44
13-Jul,1,24,5,42,58,58
13-Jul,1,24,5,42,58,58
13-Jul,1,24,5,38,62,62
13-Jul,1,24,10,74,26,26
13-Jul,1,24,10,67,33,33
13-Jul,1,24,10,72,28,28
13-Jul,1,24,10,74,26,26
13-Jul,1,24,10,70,30,30
13-Jul,1,24,10,64,36,36
13-Jul,1,24,10,62,38,38
13-Jul,1,24,10,70,30,30
13-Jul,1,24,10,51,49,49
13-Jul,1,24,10,64,36,36
13-Jul,1,24,15,81,19,19
13-Jul,1,24,15,80,20,20
13-Jul,1,24,15,84,16,16
13-Jul,1,24,15,85,15,15
13-Jul,1,24,15,88,12,12
13-Jul,1,24,15,80,20,20
13-Jul,1,24,15,79,21,21
13-Jul,1,24,15,82,18,18
13-Jul,1,24,15,72,28,28
13-Jul,1,24,15,71,29,29
13-Jul,1,24,20,92,8,8
13-Jul,1,24,20,85,15,15
13-Jul,1,24,20,83,17,17
13-Jul,1,24,20,87,13,13
13-Jul,1,24,20,80,20,20
13-Jul,1,24,20,85,15,15
13-Jul,1,24,20,90,10,10
13-Jul,1,24,20,87,13,13
13-Jul,1,24,20,82,18,18
13-Jul,1,24,20,85,15,15
13-Jul,1,24,25,87,13,13
13-Jul,1,24,25,86,14,14
13-Jul,1,24,25,87,13,13
13-Jul,1,24,25,85,15,15
13-Jul,1,24,25,90,10,10
13-Jul,1,24,25,82,18,18
13-Jul,1,24,25,85,15,15
13-Jul,1,24,25,82,18,18
13-Jul,1,24,25,78,22,22
13-Jul,1,24,25,86,14,14
14-Jul,2,4,5,93,7,7
14-Jul,2,4,5,90,10,10
14-Jul,2,4,5,84,16,16
14-Jul,2,4,5,91,9,9
14-Jul,2,4,5,91,9,9
14-Jul,2,4,5,92,8,8
14-Jul,2,4,5,96,4,4
14-Jul,2,4,5,93,7,7
14-Jul,2,4,5,85,15,15
14-Jul,2,4,5,94,6,6
14-Jul,2,4,10,92,8,8
14-Jul,2,4,10,94,6,6
14-Jul,2,4,10,93,7,7
14-Jul,2,4,10,90,10,10
14-Jul,2,4,10,91,9,9
14-Jul,2,4,10,94,6,6
14-Jul,2,4,10,85,15,15
14-Jul,2,4,10,90,10,10
14-Jul,2,4,10,91,9,9
14-Jul,2,4,10,81,19,19
14-Jul,2,4,15,87,13,13
14-Jul,2,4,15,94,6,6
14-Jul,2,4,15,92,8,8
14-Jul,2,4,15,93,7,7
14-Jul,2,4,15,91,9,9
14-Jul,2,4,15,93,7,7
14-Jul,2,4,15,90,10,10
14-Jul,2,4,15,88,12,12
14-Jul,2,4,15,84,16,16
14-Jul,2,4,15,91,9,9
14-Jul,2,4,20,91,9,9
14-Jul,2,4,20,88,12,12
14-Jul,2,4,20,94,6,6
14-Jul,2,4,20,88,12,12
14-Jul,2,4,20,85,15,15
14-Jul,2,4,20,96,4,4
14-Jul,2,4,20,97,3,3
14-Jul,2,4,20,87,13,13
14-Jul,2,4,20,94,6,6
14-Jul,2,4,20,91,9,9
14-Jul,2,4,25,93,7,7
14-Jul,2,4,25,92,8,8
14-Jul,2,4,25,97,3,3
14-Jul,2,4,25,96,4,4
14-Jul,2,4,25,92,8,8
14-Jul,2,4,25,93,7,7
14-Jul,2,4,25,93,7,7
14-Jul,2,4,25,97,3,3
14-Jul,2,4,25,91,9,9
14-Jul,2,4,25,97,3,3
14-Jul,2,8,5,77,23,23
14-Jul,2,8,5,56,44,44
14-Jul,2,8,5,54,46,46
14-Jul,2,8,5,66,34,34
14-Jul,2,8,5,58,42,42
14-Jul,2,8,5,68,32,32
14-Jul,2,8,5,76,24,24
14-Jul,2,8,5,79,21,21
14-Jul,2,8,5,66,34,34
14-Jul,2,8,5,61,39,39
14-Jul,2,8,10,84,16,16
14-Jul,2,8,10,82,18,18
14-Jul,2,8,10,78,22,22
14-Jul,2,8,10,83,17,17
14-Jul,2,8,10,82,18,18
14-Jul,2,8,10,84,16,16
14-Jul,2,8,10,85,15,15
14-Jul,2,8,10,82,18,18
14-Jul,2,8,10,77,23,23
14-Jul,2,8,10,86,14,14
14-Jul,2,8,15,89,11,11
14-Jul,2,8,15,87,13,13
14-Jul,2,8,15,84,16,16
14-Jul,2,8,15,86,14,14
14-Jul,2,8,15,91,9,9
14-Jul,2,8,15,89,11,11
14-Jul,2,8,15,87,13,13
14-Jul,2,8,15,84,16,16
14-Jul,2,8,15,88,12,12
14-Jul,2,8,15,90,10,10
14-Jul,2,8,20,85,15,15
14-Jul,2,8,20,90,10,10
14-Jul,2,8,20,91,9,9
14-Jul,2,8,20,91,9,9
14-Jul,2,8,20,95,5,5
14-Jul,2,8,20,93,7,7
14-Jul,2,8,20,91,9,9
14-Jul,2,8,20,95,5,5
14-Jul,2,8,20,89,11,11
14-Jul,2,8,20,87,13,13
14-Jul,2,8,25,89,11,11
14-Jul,2,8,25,95,5,5
14-Jul,2,8,25,95,5,5
14-Jul,2,8,25,91,9,9
14-Jul,2,8,25,91,9,9
14-Jul,2,8,25,97,3,3
14-Jul,2,8,25,95,5,5
14-Jul,2,8,25,96,4,4
14-Jul,2,8,25,93,7,7
14-Jul,2,8,25,97,3,3
14-Jul,2,12,5,60,40,40
14-Jul,2,12,5,55,45,45
14-Jul,2,12,5,52,48,48
14-Jul,2,12,5,57,43,43
14-Jul,2,12,5,61,39,39
14-Jul,2,12,5,67,33,33
14-Jul,2,12,5,71,29,29
14-Jul,2,12,5,65,35,35
14-Jul,2,12,5,62,38,38
14-Jul,2,12,5,54,46,46
14-Jul,2,12,10,65,35,35
14-Jul,2,12,10,61,39,39
14-Jul,2,12,10,61,39,39
14-Jul,2,12,10,82,18,18
14-Jul,2,12,10,76,24,24
14-Jul,2,12,10,77,23,23
14-Jul,2,12,10,80,20,20
14-Jul,2,12,10,79,21,21
14-Jul,2,12,10,73,27,27
14-Jul,2,12,10,76,24,24
14-Jul,2,12,15,77,23,23
14-Jul,2,12,15,81,19,19
14-Jul,2,12,15,79,21,21
14-Jul,2,12,15,69,31,31
14-Jul,2,12,15,82,18,18
14-Jul,2,12,15,89,11,11
14-Jul,2,12,15,77,23,23
14-Jul,2,12,15,81,19,19
14-Jul,2,12,15,82,18,18
14-Jul,2,12,15,75,25,25
14-Jul,2,12,20,80,20,20
14-Jul,2,12,20,82,18,18
14-Jul,2,12,20,83,17,17
14-Jul,2,12,20,86,14,14
14-Jul,2,12,20,83,17,17
14-Jul,2,12,20,83,17,17
14-Jul,2,12,20,82,18,18
14-Jul,2,12,20,80,20,20
14-Jul,2,12,20,88,12,12
14-Jul,2,12,20,85,15,15
14-Jul,2,12,25,85,15,15
14-Jul,2,12,25,91,9,9
14-Jul,2,12,25,88,12,12
14-Jul,2,12,25,77,23,23
14-Jul,2,12,25,90,10,10
14-Jul,2,12,25,92,8,8
14-Jul,2,12,25,89,11,11
14-Jul,2,12,25,97,3,3
14-Jul,2,12,25,92,8,8
14-Jul,2,12,25,95,5,5
14-Jul,2,24,5,58,42,42
14-Jul,2,24,5,59,41,41
14-Jul,2,24,5,48,52,52
14-Jul,2,24,5,68,32,32
14-Jul,2,24,5,69,31,31
14-Jul,2,24,5,69,31,31
14-Jul,2,24,5,64,36,36
14-Jul,2,24,5,60,40,40
14-Jul,2,24,5,56,44,44
14-Jul,2,24,5,54,46,46
14-Jul,2,24,10,66,34,34
14-Jul,2,24,10,71,29,29
14-Jul,2,24,10,69,31,31
14-Jul,2,24,10,79,21,21
14-Jul,2,24,10,68,32,32
14-Jul,2,24,10,72,28,28
14-Jul,2,24,10,70,30,30
14-Jul,2,24,10,72,28,28
14-Jul,2,24,10,68,32,32
14-Jul,2,24,10,74,26,26
14-Jul,2,24,15,84,16,16
14-Jul,2,24,15,86,14,14
14-Jul,2,24,15,80,20,20
14-Jul,2,24,15,80,20,20
14-Jul,2,24,15,81,19,19
14-Jul,2,24,15,82,18,18
14-Jul,2,24,15,63,37,37
14-Jul,2,24,15,75,25,25
14-Jul,2,24,15,82,18,18
14-Jul,2,24,15,76,24,24
14-Jul,2,24,20,77,23,23
14-Jul,2,24,20,89,11,11
14-Jul,2,24,20,85,15,15
14-Jul,2,24,20,91,9,9
14-Jul,2,24,20,87,13,13
14-Jul,2,24,20,84,16,16
14-Jul,2,24,20,86,14,14
14-Jul,2,24,20,85,15,15
14-Jul,2,24,20,86,14,14
14-Jul,2,24,20,79,21,21
14-Jul,2,24,25,80,20,20
14-Jul,2,24,25,93,7,7
14-Jul,2,24,25,98,2,2
14-Jul,2,24,25,86,14,14
14-Jul,2,24,25,85,15,15
14-Jul,2,24,25,92,8,8
14-Jul,2,24,25,93,7,7
14-Jul,2,24,25,95,5,5
14-Jul,2,24,25,90,10,10
14-Jul,2,24,25,97,3,3
